Champion,Picks,Bans,PrioScore,Wins,Losses,Winrate,KDA,Average BT,Avg RP,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15, Role
Yunara,14,47,87.0,10,4.0,71.0,5.4,3.8,1.43,,9.2,777.0,473.0,-1.6,390.0,49.0,A
Orianna,17,38,76.0,10,7.0,59.0,4.8,3.9,1.47,,8.7,778.0,420.0,11.3,203.0,226.0,M
Azir,13,41,75.0,6,7.0,46.0,2.9,3.4,1.62,,8.7,720.0,416.0,1.4,147.0,179.0,M
Neeko,16,34,69.0,9,7.0,56.0,2.9,5.1,1.56,,1.2,354.0,260.0,-1.8,208.0,-71.0,S
Sion,18,30,68.0,13,5.0,72.0,6.0,4.4,1.28,,7.8,540.0,383.0,-2.4,-70.0,116.0,T
Poppy,11,38,66.0,8,3.0,73.0,4.6,5.0,1.91,,3.4,317.0,305.0,-0.4,-8.0,141.0,T
Wukong,19,24,59.0,12,7.0,63.0,4.4,4.2,1.32,,7.1,438.0,383.0,3.4,197.0,222.0,J
Qiyana,13,27,56.0,7,6.0,54.0,3.4,3.1,1.38,,7.8,580.0,426.0,7.6,104.0,97.0,J
Alistar,22,19,54.0,12,10.0,55.0,2.8,7.9,1.5,,0.9,182.0,245.0,-1.7,-143.0,5.0,S
Ambessa,15,23,53.0,5,10.0,33.0,2.0,3.6,1.27,,7.8,639.0,371.0,-0.9,43.0,118.0,T
Taliyah,20,16,50.0,10,10.0,50.0,4.1,5.1,1.3,,8.8,706.0,408.0,-4.5,-226.0,-174.0,M
Aurora,16,19,46.0,8,8.0,50.0,4.1,4.5,1.63,,8.1,680.0,397.0,-8.0,-361.0,-387.0,M
Ryze,19,15,46.0,8,11.0,42.0,2.8,5.0,1.32,,8.9,633.0,416.0,0.1,38.0,-6.0,M
Caitlyn,13,19,44.0,4,9.0,31.0,3.1,5.0,1.46,,9.2,684.0,440.0,3.8,-180.0,-440.0,A
Xin Zhao,25,7,42.0,14,11.0,56.0,3.3,6.6,1.32,,6.8,450.0,371.0,0.8,-247.0,-45.0,J
Vi,14,16,40.0,4,10.0,29.0,2.2,3.8,1.57,,6.6,301.0,360.0,-4.6,-9.0,-35.0,J
Kaisa,17,14,40.0,5,12.0,29.0,2.6,6.8,1.65,,9.4,633.0,446.0,1.6,265.0,107.0,A
Rakan,18,12,37.0,9,9.0,50.0,4.4,8.2,1.67,,1.1,190.0,256.0,1.7,-15.0,-109.0,S
Rumble,18,12,37.0,9,9.0,50.0,3.0,6.7,1.61,,7.5,670.0,379.0,8.4,216.0,107.0,T
Corki,18,8,35.0,10,8.0,56.0,3.5,7.8,1.33,,9.0,821.0,437.0,-5.3,-431.0,-293.0,A
Braum,14,12,35.0,8,6.0,57.0,3.9,8.9,1.43,,1.0,232.0,256.0,-2.5,-10.0,-120.0,S
Bard,12,14,32.0,6,6.0,50.0,4.6,3.5,1.92,,1.1,247.0,256.0,-2.0,41.0,153.0,S
KSante,23,4,32.0,7,16.0,30.0,2.6,7.8,1.61,,7.7,464.0,357.0,2.0,-100.0,117.0,T
Jarvan IV,18,5,28.0,9,9.0,50.0,3.5,3.2,1.44,,6.5,394.0,361.0,-0.4,88.0,-7.0,J
Sivir,10,13,28.0,5,5.0,50.0,4.3,8.4,1.9,,9.3,849.0,436.0,-0.2,-51.0,114.0,A
Ezreal,13,6,24.0,6,7.0,46.0,5.1,8.0,1.54,,9.3,818.0,422.0,-1.3,-268.0,210.0,A
Trundle,15,7,23.0,10,5.0,67.0,5.9,3.6,2.0,,6.8,408.0,383.0,-2.1,-71.0,-80.0,J
Galio,9,9,23.0,6,3.0,67.0,6.2,6.1,1.67,,7.8,560.0,390.0,-16.2,-377.0,-262.0,M
Xayah,11,8,22.0,6,5.0,55.0,4.5,7.6,2.09,,9.4,742.0,440.0,-0.1,-339.0,-24.0,A
Karma,4,11,21.0,2,2.0,50.0,3.4,7.9,1.5,,0.9,214.0,244.0,-6.5,-34.0,46.0,S
RekSai,13,4,21.0,7,6.0,54.0,2.3,7.3,1.54,,8.1,580.0,395.0,-6.7,56.0,-440.0,T
Leona,13,6,20.0,7,6.0,54.0,2.8,7.7,2.15,,1.1,205.0,246.0,5.3,95.0,212.0,S
Renekton,12,6,19.0,6,6.0,50.0,2.4,8.3,2.25,,8.6,515.0,402.0,13.8,341.0,86.0,T
Cassiopeia,6,8,18.0,3,3.0,50.0,4.4,6.4,1.5,,8.4,679.0,416.0,13.5,453.0,539.0,M
